protein1	protein2	ColorSim	ECC	Pfam	SeqSim	AnnSim
Q9JKJ9	Q9NYL5	1	4	1	0.7664	1
Q9JKJ9	Q60991	0.8487394958	3	1	0.1624863686	0.911
Q9JKJ9	Q64505	0.6806722689	3	1	0.125502008	0.785
Q9JKJ9	P11511	0.2761904762	2	1	0.0600305499	0.424
Q9JKJ9	P27786	0.431122449	2	1	0.055224634	0.534
Q9JKJ9	P00184	0.4112554113	2	1	0.0468703795	0.592
Q9JKJ9	O43174	0.2833333333	2	1	0.0442066806	0.489
Q9JKJ9	P00186	0.344988345	2	1	0.0407481297	0.483
Q9JKJ9	Q6V0L0	0.2	2	1	0.0381818182	0.429
Q9JKJ9	Q9NR63	0.1527777778	2	1	0.0377358491	0.393
P53550	O13828	0.2	1	1	0.1391050584	0.333
O15254	Q9EPL9	0.8333333333	4	1	0.7434187434	0.909
O15254	Q9R0H0	0.8611111111	4	0.6666667	0.2000706964	0.861
O15254	Q09199	0.3159090909	0	0	0.0218255578	0.487
O15254	Q03503	0.2435897436	1	0	0.0285082873	0.365
O15254	P19730	0.473015873	1	0	0.024311491	0.568
Q9NR63	Q6V0L0	0.4072766554	4	1	0.5221285564	0.588
Q9NR63	O43174	0.5407993827	4	1	0.3846923462	0.671
Q9NR63	Q64505	0.15	2	1	0.0589879518	0.368
Q9NR63	P00186	0.1627117983	2	1	0.0542145594	0.422
Q9NR63	P11511	0.1477272727	2	1	0.0553004397	0.275
Q9NR63	P00184	0.1757558579	2	1	0.0492424242	0.421
Q9NR63	Q9NYL5	0.1527777778	2	1	0.0473953013	0.393
Q9NR63	Q60991	0.1527777778	2	1	0.0453834116	0.384
Q9NR63	P27786	0.15	2	1	0.0427325581	0.338
Q9NR63	P36120	0.0910111031	1	0	0.0214770459	0.218
P11511	P00184	0.2666666667	4	1	0.0739479905	0.4
P11511	P27786	0.4833333333	2	1	0.0674407354	0.636
P11511	O43174	0.1964285714	2	1	0.0698301698	0.314
P11511	Q6V0L0	0.2272727273	2	1	0.0557075224	0.325
P11511	Q9NYL5	0.2761904762	2	1	0.0589495156	0.424
P11511	P00186	0.1454545455	4	1	0.0507890961	0.246
P11511	Q60991	0.3222222222	2	1	0.0499479167	0.477
P11511	Q64505	0.3846153846	2	1	0.0434071222	0.543
P11511	Q54U87	0.0647130647	0	0	0.0168381933	0.112
P11511	P35354	0.1717171717	3	0	0.024954955	0.291
P10253	P70699	0.6507936508	4	1	0.8201591512	0.778
P10253	P38138	0.1172161172	3	0.5	0.1565977742	0.205
P10253	Q9Y5S8	0.2572041102	0	0	0.0177510844	0.417
O60476	Q9NR34	0.8333333333	4	1	0.4905982906	0.967
O60476	P32791	0.1238317238	1	0	0.0239370079	0.252
O60476	P13637	0.077008177	1	0	0.0171499844	0.156
Q9UEF7	P38993	0.1817460317	0	0	0.0174153846	0.331
Q9UEF7	P38786	0.0666666667	1	0	0.0222358722	0.312
Q9UEF7	P13587	0.1841269841	1	0	0.0129479216	0.293
Q4PIR3	Q12216	0.351010101	4	0.5	0.0331306991	0.477
Q29487	Q29562	1	4	1	0.901504788	1
Q29487	Q9XS65	1	4	1	0.8935879945	1
Q29487	O97921	1	4	1	0.7936507937	1
Q29487	O02853	1	4	1	0.7836338419	1
Q29487	P41222	1	4	1	0.7263294423	1
Q29487	Q9XSM0	1	4	1	0.7277628032	1
Q29487	Q29095	1	4	1	0.6994535519	1
Q29487	O09114	1	4	1	0.6780626781	1
Q29487	P22057	1	4	1	0.6775956284	1
Q13268	Q99LB2	0.4375	2	1	0.5963855422	0.545
Q13268	P32573	0.4982310803	1	1	0.1328426863	0.676
Q13268	O18404	0.3931623932	2	1	0.1253968254	0.548
Q13268	P50171	0.5178571429	2	1	0.1314942529	0.628
Q13268	P40471	0.431372549	2	1	0.0950271248	0.537
Q13268	Q9BPW9	0.4620926527	4	1	0.0823734729	0.648
Q13268	Q8VD48	0.5259259259	4	1	0.0859318996	0.652
Q13268	Q58NB6	0.5259259259	4	1	0.0819407008	0.652
Q13268	Q8HYR6	0.5259259259	4	1	0.0744773519	0.652
Q13268	Q02207	0.5032051282	3	0.5	0.0396741524	0.608
P37287	Q9Y704	0.3833333333	3	0.33333334	0.0217318436	0.533
P37287	Q9UUL4	0.3266666667	3	0.25	0.0130458029	0.512
P37287	Q9USK8	0.2619047619	3	0.25	0.0110726644	0.461
P37287	Q9Y719	0.2582417582	3	0.25	0.0110586177	0.433
P49740	P36010	0.6666666667	4	1	0.6550632911	0.773
P49740	P22887	0.4	4	1	0.6188197767	0.578
P49740	P08879	0.3333333333	4	1	0.5917721519	0.51
P49740	P22392	0.2666666667	4	1	0.5917721519	0.443
P49740	P50750	0.1192982456	2	0	0.0570383912	0.408
P49740	O17432	0.1582080201	2	0	0.0547597461	0.345
P49740	O14098	0.0857142857	2	0	0.042879257	0.355
Q60991	Q64505	0.7843137255	3	1	0.3270020534	0.839
Q60991	Q9NYL5	0.8487394958	3	1	0.1714909885	0.911
Q60991	P27786	0.5029761905	2	1	0.061641714	0.587
Q60991	P00184	0.4888888889	2	1	0.0591939547	0.609
Q60991	P00186	0.3273645546	2	1	0.0437531871	0.459
Q60991	O43174	0.2833333333	2	1	0.0444444444	0.486
Q60991	Q923J1	0.2230769231	0	0	0.0119027304	0.321
Q60991	Q20432	0.0666666667	0	0	0.0408193124	0.114
Q60991	Q08649	0.1802197802	0	0	0.0295286769	0.367
Q9P212	Q99P84	0.4583333333	4	1	0.8452847075	0.629
Q9P212	Q8K4S1	0.4583333333	4	1	0.8445142473	0.629
Q9P212	P13217	0.3692048878	4	0.5714286	0.0478995505	0.565
Q9P212	Q99JE6	0.2055555556	4	0.5714286	0.0463157895	0.34
Q9P212	P32383	0.2445601852	4	0.42857143	0.0385312037	0.397
Q9P212	P17252	0.2642748598	0	0.11111111	0.0125149598	0.492
Q9P212	Q10407	0.1766581633	0	0	0.009374055	0.319
Q9P212	O95271	0.0703859357	0	0	0.008871688	0.193
Q9P212	Q8WZA1	0.0017014213	0	0	0.0095868921	0.086
P49872	P16118	0.5	4	1	0.9726239669	0.667
P49872	P07953	1	4	1	0.950203252	1
P49872	P70266	1	4	1	0.9545219638	1
P49872	P16330	0.2599267399	2	0	0.0308775731	0.325
P49872	P04843	0.1666666667	2	0	0.0261531146	0.425
P49872	P36165	0.3214285714	2	0	0.0194645441	0.412
P49872	P13607	0.0674242424	2	0	0.0172447326	0.123
P49872	P40454	0.1987179487	1	0	0.0283342557	0.314
P26570	P32598	0.0528211285	4	1	0.4878338279	0.132
P26570	P63330	0.0888888889	4	1	0.2946745562	0.257
P26570	P67775	0.0322916667	4	1	0.2946745562	0.12
P26570	Q9Y0B7	0	4	1	0.2954139369	0.205
P26570	P23594	0.0722222222	4	1	0.2625352113	0.152
P26570	P23595	0.0722222222	4	1	0.2538209607	0.152
P26570	P14747	0.4117647059	4	1	0.1781737194	0.44
P26570	P23287	0.348583878	4	1	0.1777879342	0.397
P26570	Q68G16	0.1555555556	4	0.33333334	0.1739766082	0.203
P26570	Q64538	0.1555555556	4	0.33333334	0.1772025884	0.203
P26570	Q86VZ5	0.1115384615	0	0	0.0296394486	0.333
P26570	Q8VCQ6	0.0929487179	0	0	0.0295923769	0.291
P26570	Q7TSX5	0.1115384615	0	0	0.0296237414	0.333
Q01237	Q8BV96	0.6	4	1	0.5620941558	0.75
Q01237	Q06147	0.2008225108	1	0	0.0189409369	0.347
Q9UPT9	Q7Z569	0.2104647571	1	0.25	0.0277056277	0.361
Q9UPT9	Q9UBN7	0.339446129	1	0.33333334	0.0168464005	0.641
